STATIONID;OBSERVATIONYEAR;OBSERVATIONMONTH;OBSERVATIONDAY;OBSERVATIONHOUR;BARPRESSURE;DRYTEMP;WETTEMP;MAXTEMP;MINTEMP;RELHUMIDITY;WINDDIRECTION;WINDFORCEKNOT;VISIBILITY;TOTALCLOUDAMOUNT;PRECIPHEIGHT;HLIOFANIA
16667;1995;1;13;3;1.003,5;12,2;11,6;;;93;330;4;15;8;0;
16667;1995;1;13;6;1.006,5;9,4;9;13;9;95;0;0;15;7;7;
16667;1995;1;13;9;1.010;10,2;9,6;;;92;0;0;15;8;0,7;
16667;1995;1;13;12;1.010;10,4;9,6;;;90;100;14;15;8;0,3;
16667;1995;1;13;15;1.010,7;10,2;9,4;;;90;60;20;12;8;0,3;
16667;1995;1;13;18;1.010,7;10;9,2;13,6;8,8;90;300;4;10;8;1,4;
16667;1995;1;13;21;1.012,4;8,8;8,2;;;92;90;10;10;8;0,3;
16667;1995;1;14;0;1.012,4;10,2;9,4;;;90;120;14;20;8;1,6;
16667;1995;1;14;3;1.011,5;8,8;7,8;;;87;100;16;10;8;2,1;
16667;1995;1;14;6;1.011,5;7,6;7,2;10,2;7,6;94;160;10;5;8;28,5;
16667;1995;1;14;9;1.013;8,2;7,8;;;94;120;4;2;8;19,1;
16667;1995;1;14;12;1.011,7;8,2;8;;;97;50;10;2;8;17;
16667;1995;1;14;15;1.009,5;10;8,8;;;85;120;22;10;6;0,4;
16667;1995;1;14;18;1.007,5;11,2;9,6;11,5;7,6;81;120;24;10;8;36,5;
16667;1995;1;14;21;1.007,5;10,8;9,8;;;88;120;24;10;8;4,4;
16667;1995;1;15;0;1.005,4;10,4;9,2;;;85;120;24;10;8;2,3;
16667;1995;1;15;3;1.004,7;10,6;9,6;;;88;90;26;12;8;5,3;
16667;1995;1;15;6;1.005;10,2;9,2;11,8;7,2;87;100;30;9;8;13,9;
16667;1995;1;15;9;1.007,5;11,6;9,8;;;78;100;24;15;7;;
16667;1995;1;15;12;1.008,2;10,8;9;;;78;60;24;15;7;;
16667;1995;1;15;15;1.011,7;9;7,4;;;78;40;30;20;7;;
16667;1995;1;15;18;1.015,7;7,2;5,4;11,8;7,2;74;30;30;20;7;0,9;
16667;1995;1;15;21;1.018;6,2;4,4;;;73;20;34;20;7;;
16667;1995;1;16;0;1.019;5;3,6;;;78;20;42;15;7;;
16667;1995;1;16;3;1.020,4;4,2;3;;;80;30;36;15;8;;
16667;1995;1;16;6;1.022,7;4,2;3;11,2;4;80;30;34;10;7;;
16667;1995;1;16;9;1.025;4,4;3,4;;;84;20;30;10;6;;
16667;1995;1;16;12;1.024,6;4;3;;;84;30;30;10;5;;
16667;1995;1;16;15;1.025,3;4,6;3,2;;;77;30;30;12;3;;
16667;1995;1;16;18;1.025,8;4,4;3,2;5,8;3,2;80;30;28;12;3;;
16667;1995;1;16;21;1.026,1;4,2;3;;;80;40;28;12;1;;
16667;1995;1;17;0;1.026;4,2;2,8;;;77;30;32;10;1;;
16667;1995;1;17;3;1.026;4,2;2,4;;;70;30;30;10;1;;
16667;1995;1;17;6;1.026,1;4;2,4;4,8;4;73;20;24;15;1;;
16667;1995;1;17;9;1.027;5,2;3;;;66;30;24;12;5;;
16667;1995;1;17;12;1.026,5;5,2;3,2;;;69;20;16;15;2;;
16667;1995;1;17;15;1.025,8;5,4;3;;;63;50;18;15;3;;
16667;1995;1;17;18;1.026,9;5,2;3,2;6;4;69;50;24;15;3;;
16667;1995;1;17;21;1.027,5;4;3;;;84;60;18;15;3;;
16667;1995;1;18;0;1.027;3,8;2,4;;;76;60;16;15;3;;
16667;1995;1;18;3;1.026,6;3;1,8;;;79;120;4;15;1;;
16667;1995;1;18;6;1.026,5;3,6;2,6;7;2,2;84;120;10;15;2;;
16667;1995;1;18;9;1.026,9;5,2;3,6;;;76;90;4;15;2;;
16667;1995;1;18;12;1.025,6;5,4;3,8;;;76;0;0;15;6;;
16667;1995;1;18;15;1.025,6;5,4;3,8;;;76;0;0;15;6;;
16667;1995;1;18;18;1.026,4;6,2;4,4;6,2;3,6;73;120;10;15;7;;
16667;1995;1;18;21;1.027;6;4,4;;;76;90;6;15;7;;
16667;1995;1;19;0;1.027,3;6;5;;;85;90;14;15;7;;
16667;1995;1;19;3;1.027,4;4,2;3,6;;;90;0;0;15;7;;
16667;1995;1;19;6;1.027,8;5,2;4,4;6,2;4;87;0;0;10;7;;
16667;1995;1;19;9;1.028,5;8,2;6,8;;;81;0;0;15;7;;
16667;1995;1;19;12;1.027,8;8,4;6,6;;;76;190;6;12;7;;
16667;1995;1;19;15;1.027,9;9;7,2;;;76;210;4;10;7;;
16667;1995;1;19;18;1.028;8,6;7,6;9;5;87;0;0;10;8;;
16667;1995;1;19;21;1.028;7,2;6,6;;;91;0;0;10;8;;
16667;1995;1;20;0;1.027,4;9,4;8,4;;;87;90;8;10;8;;
16667;1995;1;20;3;1.026,5;9,4;8,4;;;87;90;12;10;8;0;
16667;1995;1;20;6;1.026;8,4;8,2;9,6;7,2;97;100;20;8;8;0,3;
16667;1995;1;20;9;1.025,8;8,4;8,2;;;97;90;16;7;8;2,5;
16667;1995;1;20;12;1.023,7;8;8;;;100;60;10;7;8;2,7;
16667;1995;1;20;15;1.024,5;8,4;8,4;;;100;100;14;10;8;1,5;
16667;1995;1;20;18;1.026;8,2;8;8,6;7,4;97;90;12;10;8;6,9;
16667;1995;1;20;21;1.026,9;7,2;6,8;;;94;70;10;10;8;;
16667;1995;1;21;0;1.027,5;5;5;;;100;30;12;10;5;;
16667;1995;1;21;3;1.027,8;6;5;;;85;30;12;10;1;;
