STATIONID;OBSERVATIONYEAR;OBSERVATIONMONTH;OBSERVATIONDAY;OBSERVATIONHOUR;BARPRESSURE;DRYTEMP;WETTEMP;MAXTEMP;MINTEMP;RELHUMIDITY;WINDDIRECTION;WINDFORCEKNOT;VISIBILITY;TOTALCLOUDAMOUNT;PRECIPHEIGHT;HLIOFANIA
16710;1980;1;1;0;999,9;5,6;4,8;;;88;230;12;14;8;;
16710;1980;1;1;6;1.000,8;2;1;;1,8;82;270;8;6;8;24,6;
16710;1980;1;1;9;1.005,2;2,2;1,8;;;93;290;8;6;6;;
16710;1980;1;1;12;1.006;3;2;;;83;290;24;6;7;;
16710;1980;1;1;15;1.010,3;1,8;1,2;;;89;290;12;6;7;;
16710;1980;1;1;18;1.012,1;3,4;0,8;10,6;;57;250;12;14;4;7,5;
16710;1980;1;1;21;1.015,1;3,6;0,8;;;54;270;6;14;3;;
16710;1980;1;2;0;1.017,6;1;0,4;;;88;0;0;14;5;;
16710;1980;1;2;6;1.018;0,2;-0,2;;0,2;93;0;0;14;7;;
16710;1980;1;2;9;1.016,3;3,6;2,6;;;84;0;0;14;8;;
16710;1980;1;2;12;1.012,3;4,6;4,2;;;93;0;0;6;8;;
16710;1980;1;2;15;1.008,3;8;7,2;;;89;250;10;6;8;;
16710;1980;1;2;18;1.008,5;8;7,2;8,6;;89;250;14;10;8;15,5;
16710;1980;1;2;21;1.007,6;7,8;6,8;;;86;270;6;6;8;;
16710;1980;1;3;0;1.003,7;8,4;7,8;;;92;250;12;6;8;;
16710;1980;1;3;6;1.002,7;5;4;;0;84;290;20;14;7;27,4;
16710;1980;1;3;9;1.004;3;2,6;;;93;230;10;6;8;;
16710;1980;1;3;12;1.003,3;1,8;1,4;;;92;250;8;4;8;;
16710;1980;1;3;15;1.004,5;0,4;0,2;;;96;0;0;10;7;;
16710;1980;1;3;18;1.007,3;0;-0,2;8,4;;96;0;0;10;8;14,4;
16710;1980;1;3;21;1.008;0,2;-1,2;;;75;290;20;14;6;;
16710;1980;1;4;0;1.008;-0,2;-1,6;;;74;290;12;14;6;;
16710;1980;1;4;6;1.011,1;-2,4;-2,8;;-2,8;92;0;0;14;6;1,5;
16710;1980;1;4;9;1.012,7;-0,4;-1,8;;;74;0;0;14;1;;
16710;1980;1;4;12;1.011,7;2;-1,2;;;48;290;6;14;3;;
16710;1980;1;4;15;1.012,8;1;-1,8;;;52;0;0;14;3;;
16710;1980;1;4;18;1.015,2;-1,8;-3;2,2;;76;250;8;14;2;;
16710;1980;1;4;21;1.017,2;-3,4;-4;;;87;0;0;14;0;;
16710;1980;1;5;0;1.017,7;-4,4;-5,4;;;77;0;0;14;0;;
16710;1980;1;5;6;1.020,5;-7,2;-7,6;;-7,2;89;0;0;14;0;;
16710;1980;1;5;9;1.021,2;-1,2;-3,6;;;53;140;4;14;0;;
16710;1980;1;5;12;1.019,7;1,6;-2,4;;;36;0;0;14;0;;
