STATIONID;OBSERVATIONYEAR;OBSERVATIONMONTH;OBSERVATIONDAY;OBSERVATIONHOUR;BARPRESSURE;DRYTEMP;WETTEMP;MAXTEMP;MINTEMP;RELHUMIDITY;WINDDIRECTION;WINDFORCEKNOT;VISIBILITY;TOTALCLOUDAMOUNT;PRECIPHEIGHT;HLIOFANIA
16749;1980;1;1;0;1.011,2;15,2;12,4;;;70;200;7;10;7;;
16749;1980;1;1;3;1.008,3;16,2;13;;;68;180;7;10;8;;
16749;1980;1;1;6;1.006,5;16,4;13,2;;11;68;250;8;10;7;1;
16749;1980;1;1;9;1.004,1;17,2;13,6;;;65;180;8;10;7;;
16749;1980;1;1;12;1.005,2;13,8;10,8;;;67;250;22;8;7;;
16749;1980;1;1;15;1.006,5;11;8,4;;;68;230;15;8;6;;
16749;1980;1;1;18;1.008,4;13,4;9,4;17,2;;55;250;20;10;7;12,7;
16749;1980;1;1;21;1.010,9;13;9,6;;;62;250;15;10;6;;
16749;1980;1;2;0;1.012,7;13;8,8;;;54;320;15;10;5;;
16749;1980;1;2;3;1.013,2;12,8;8,6;;;54;290;14;10;7;;
16749;1980;1;2;6;1.013,9;12,4;8,6;;11,2;57;320;8;15;6;2;
16749;1980;1;2;9;1.015,6;12,6;9,4;;;63;360;5;15;7;;
16749;1980;1;2;12;1.014,8;14,6;10,6;;;58;0;0;20;3;;
16749;1980;1;2;15;1.014,7;12,8;9,2;;;59;0;0;15;3;;
16749;1980;1;2;18;1.014,8;11,2;8,6;16;;69;110;3;10;3;;
16749;1980;1;2;21;1.014,1;13;10,4;;;70;0;0;10;6;;
16749;1980;1;3;0;1.012,1;12,6;11,8;;;91;90;4;10;7;;
16749;1980;1;3;3;1.010,1;12,4;11,6;;;91;200;8;10;7;;
16749;1980;1;3;6;1.009,5;14,4;12,8;;11,2;83;180;12;10;6;5,2;
16749;1980;1;3;9;1.009,5;14,6;12,6;;;79;250;15;10;6;;
16749;1980;1;3;12;1.007,3;16,4;13,8;;;74;180;15;10;6;;
16749;1980;1;3;15;1.006,3;16,4;13,2;;;68;200;12;10;8;;
16749;1980;1;3;18;1.006,4;13;11,8;16,4;;86;230;20;10;8;4,2;
16749;1980;1;3;21;1.006,4;12,4;10;;;72;140;7;10;7;;
16749;1980;1;4;0;1.006,4;12,4;10;;;72;180;13;10;8;;
16749;1980;1;4;3;1.005,5;12,4;10;;;72;200;15;10;6;;
16749;1980;1;4;6;1.007,1;8,6;6,4;;8;70;180;13;15;6;2,5;
16749;1980;1;4;9;1.008,8;10,4;7,6;;;66;230;20;10;7;;
16749;1980;1;4;12;1.006,7;12;7,4;;;47;200;15;15;5;;
16749;1980;1;4;15;1.007,9;8;6,8;;;83;270;18;15;7;;
16749;1980;1;4;18;1.010,5;8,4;7;13;;81;290;12;6;8;9,8;
16749;1980;1;4;21;1.009,9;6,4;5,2;;;82;200;5;10;7;;
16749;1980;1;5;0;1.010;6,2;5,2;;;85;320;8;10;7;;
16749;1980;1;5;3;1.010;6;5,2;;;88;290;10;10;7;;
16749;1980;1;5;6;1.011,1;7,2;5;;5,6;69;320;15;10;5;0,2;
16749;1980;1;5;9;1.011,7;7,6;4,8;;;62;290;12;15;7;;
16749;1980;1;5;12;1.011,2;8,2;5,6;;;65;290;13;15;5;;
16749;1980;1;5;15;1.013,1;7,6;4,6;;;59;320;14;10;5;;
16749;1980;1;5;18;1.014,8;7,2;4,2;8,2;;57;320;15;10;3;0,5;
16749;1980;1;5;21;1.016,3;6,8;3,6;;;55;290;15;10;3;;
16749;1980;1;6;0;1.017,1;6,2;3,4;;;58;290;14;10;1;;
16749;1980;1;6;3;1.017,3;6,6;3,8;;;60;290;13;10;0;;
16749;1980;1;6;6;1.018,4;7;3,6;;6,2;53;290;10;15;1;;
16749;1980;1;6;9;1.019,3;9,4;5,2;;;46;290;6;20;4;;
16749;1980;1;6;12;1.018,3;10,6;5,8;;;43;270;10;20;3;;
16749;1980;1;6;15;1.018;9,8;6,8;;;62;250;5;20;7;;
16749;1980;1;6;18;1.018,1;9,2;6,6;10,6;;67;0;0;10;8;;
16749;1980;1;6;21;1.017,9;8,4;6;;;68;0;0;10;4;;
16749;1980;1;7;0;1.016,5;9,8;7,2;;;67;0;0;10;5;;
16749;1980;1;7;3;1.014,3;9;6,8;;;71;0;0;10;6;;
16749;1980;1;7;6;1.013,5;11,2;10,4;;6;90;90;3;10;8;1;
16749;1980;1;7;9;1.013,2;13;11,4;;;81;0;0;10;8;;
16749;1980;1;7;12;1.011,3;12,4;10,6;;;79;200;10;9;8;;
16749;1980;1;7;15;1.010,7;13;11,8;;;86;180;8;15;6;;
16749;1980;1;7;18;1.011,7;12,2;10,6;14,4;;81;180;7;10;4;4;
16749;1980;1;7;21;1.013,1;12,6;10,2;;;72;180;10;10;4;;
16749;1980;1;8;0;1.013,3;12,4;10;;;72;180;7;10;2;;
16749;1980;1;8;3;1.013,3;12;10;;;76;250;7;10;2;;
16749;1980;1;8;6;1.013,7;12,4;10,4;;12;76;180;10;10;5;9,3;
16749;1980;1;8;9;1.015,3;14,6;11,2;;;64;250;11;20;4;;
16749;1980;1;8;12;1.014,8;16,4;11,6;;;53;230;12;20;4;;
16749;1980;1;8;15;1.015,3;12,8;9,8;;;66;180;10;10;6;;
