STATIONID;OBSERVATIONYEAR;OBSERVATIONMONTH;OBSERVATIONDAY;OBSERVATIONHOUR;BARPRESSURE;DRYTEMP;WETTEMP;MAXTEMP;MINTEMP;RELHUMIDITY;WINDDIRECTION;WINDFORCEKNOT;VISIBILITY;TOTALCLOUDAMOUNT;PRECIPHEIGHT;HLIOFANIA
16734;2000;1;1;0;1.016,8;11,6;8;;;58;320;18;20;4;;
16734;2000;1;1;3;1.017,3;11,6;7,8;;;56;290;18;20;2;;
16734;2000;1;1;6;1.018,6;11,4;8;12,4;10,2;60;290;15;20;4;;
16734;2000;1;1;9;1.019,9;12,2;8,4;;;56;320;15;20;5;;
16734;2000;1;1;12;1.019,3;13,4;9,4;;;55;290;15;20;4;;
16734;2000;1;1;15;1.019,5;10;8;;;74;290;6;20;7;;
16734;2000;1;1;18;1.020,2;7;5,6;13,6;6,4;80;50;14;20;5;0,2;
16734;2000;1;1;21;1.020,8;8;6,8;;;83;70;8;15;7;0,3;
16734;2000;1;2;0;1.019,8;6,2;5,2;;;85;50;4;15;6;0,5;
16734;2000;1;2;3;1.019,3;5,8;5;;;88;50;12;15;6;;
16734;2000;1;2;6;1.019,1;8,2;6,4;9,4;4,4;75;340;10;20;7;0,8;
16734;2000;1;2;9;1.019,9;11;8,6;;;71;320;10;20;4;;
16734;2000;1;2;12;1.018,7;11,4;8,4;;;64;320;12;20;6;0,1;
16734;2000;1;2;15;1.018,5;9,4;7,2;;;71;320;15;10;7;;
16734;2000;1;2;18;1.018,9;8;6,4;12;7;77;50;5;10;3;0,3;
16734;2000;1;2;21;1.019;6,6;5,2;;;79;50;5;10;2;;
16734;2000;1;3;0;1.018,5;3,8;2,8;;;84;50;5;10;1;;
16734;2000;1;3;3;1.018,4;3,4;2,4;;;83;50;5;10;1;;
16734;2000;1;3;6;1.018,9;2,8;1,8;8,2;1,4;83;90;8;15;5;;
16734;2000;1;3;9;1.020,2;9;5,8;;;59;70;6;20;5;;
16734;2000;1;3;12;1.019,8;11,6;7;;;47;0;0;20;5;;
16734;2000;1;3;15;1.019,8;9;5,6;;;56;50;7;20;4;;
16734;2000;1;3;18;1.020,4;6;2,8;12;2,8;53;50;10;20;2;;
16734;2000;1;3;21;1.021,3;5;2,4;;;59;50;10;20;1;;
16734;2000;1;4;0;1.020,8;4,4;1,8;;;59;50;10;20;1;;
16734;2000;1;4;3;1.020,4;5,4;2,4;;;54;360;8;20;1;;
16734;2000;1;4;6;1.020,3;3,4;1,4;6;2,2;66;20;5;20;1;;
16734;2000;1;4;9;1.021,1;9,2;5,6;;;54;320;10;20;2;;
16734;2000;1;4;12;1.019,7;11;6,6;;;48;320;10;20;1;;
16734;2000;1;4;15;1.018,9;10,2;6;;;48;320;7;20;1;;
16734;2000;1;4;18;1.019,5;4;2,6;11,6;2,6;77;50;6;20;1;;
16734;2000;1;4;21;1.020,2;4,4;3,4;;;84;50;7;20;1;;
16734;2000;1;5;0;1.020,2;3,4;2,8;;;90;50;8;20;1;;
16734;2000;1;5;3;1.019,3;3,4;2,6;;;87;50;8;20;1;;
16734;2000;1;5;6;1.019,4;4,6;3,6;5,4;2,6;84;50;8;20;1;;
16734;2000;1;5;9;1.020;12,6;9,2;;;61;70;5;20;1;;
16734;2000;1;5;12;1.018,9;13,2;9,4;;;57;290;7;20;1;;
16734;2000;1;5;15;1.018,5;12,6;8,4;;;52;320;5;20;1;;
16734;2000;1;5;18;1.019;7,2;4,4;13,4;4,4;60;50;5;20;1;;
16734;2000;1;5;21;1.019,7;6,4;4,4;;;70;50;8;10;1;;
16734;2000;1;6;0;1.018,6;7,4;5,4;;;71;50;5;10;1;;
16734;2000;1;6;3;1.019,4;4,8;3,6;;;81;50;5;10;1;;
16734;2000;1;6;6;1.019,9;5;4;8,4;3,4;84;50;8;15;1;;
16734;2000;1;6;9;1.020,7;13;9,6;;;62;250;3;20;2;;
16734;2000;1;6;12;1.019,8;14,4;10,8;;;62;270;6;20;1;;
16734;2000;1;6;15;1.019,4;13;10;;;66;290;6;20;3;;
16734;2000;1;6;18;1.019,5;8,6;7;14,8;5;78;20;6;20;3;;
16734;2000;1;6;21;1.019,7;8;7;;;86;50;5;20;5;;
16734;2000;1;7;0;1.019,3;8;7;;;86;50;8;20;5;;
16734;2000;1;7;3;1.018,6;9,8;8,4;;;82;70;6;15;6;0,3;
16734;2000;1;7;6;1.018,9;12;10,4;12;7,6;81;110;5;10;7;0,3;
16734;2000;1;7;9;1.020,8;12;10,4;;;81;110;5;10;5;;
16734;2000;1;7;12;1.020,3;13,6;10,6;;;67;160;5;15;5;;
16734;2000;1;7;15;1.021,3;11;9;;;75;140;5;15;5;0,1;
16734;2000;1;7;18;1.022,2;9;7,8;14;8,6;84;0;0;15;7;0,1;
16734;2000;1;7;21;1.022,9;7;5,8;;;83;90;5;15;7;;
16734;2000;1;8;0;1.022,9;6,6;5,8;;;88;90;6;10;8;1,1;
16734;2000;1;8;3;1.022,9;6;5;;;85;110;3;10;6;2;
16734;2000;1;8;6;1.023,4;5,4;4,4;9,6;5;84;50;6;20;4;3,3;
16734;2000;1;8;9;1.024,4;10;7,6;;;70;90;3;20;4;;
16734;2000;1;8;12;1.023,7;11,8;8,8;;;65;140;3;20;6;;
16734;2000;1;8;15;1.023,3;11;8,4;;;68;160;4;20;4;;
16734;2000;1;8;18;1.024,3;7,6;6;12,4;5,4;77;50;6;20;3;;
16734;2000;1;8;21;1.024,4;6,8;5,4;;;79;50;6;20;5;;
16734;2000;1;9;0;1.023,9;7,2;6;;;83;50;8;20;6;;
16734;2000;1;9;3;1.023,8;6,4;5,2;;;82;50;7;20;3;;
16734;2000;1;9;6;1.023,9;5;4,4;8;4,2;90;50;7;20;3;;
16734;2000;1;9;9;1.025;11,8;8,8;;;65;50;3;20;2;;
16734;2000;1;9;12;1.023,8;13,2;9,4;;;57;270;6;20;2;;
16734;2000;1;9;15;1.023,5;12,2;8,6;;;59;270;4;20;1;;
16734;2000;1;9;18;1.024,4;5,6;4,2;13,6;5;78;50;7;15;1;;
16734;2000;1;9;21;1.025;5,4;3,6;;;73;50;7;15;1;;
16734;2000;1;10;0;1.025,4;4,2;3;;;80;50;7;15;1;;
16734;2000;1;10;3;1.025,1;5,6;3,6;;;70;50;6;15;1;;
16734;2000;1;10;6;1.026,2;3,2;1,8;6,4;2,6;76;50;8;20;2;;
16734;2000;1;10;9;1.026,7;12,6;9,4;;;63;70;5;20;4;;
16734;2000;1;10;12;1.025,6;14,6;11;;;62;160;6;20;4;;
16734;2000;1;10;15;1.025,6;12;10;;;76;0;0;20;7;;
16734;2000;1;10;18;1.026,2;9,8;9,2;14,8;3,2;92;0;0;15;7;3,3;
16734;2000;1;10;21;1.026,7;9;8,4;;;92;0;0;15;7;;
16734;2000;1;11;0;1.026,9;8,8;7,6;;;84;110;4;15;6;;
16734;2000;1;11;3;1.027,1;8,6;7,6;;;87;110;6;15;7;;
16734;2000;1;11;6;1.027,3;8;7;10;7;86;50;5;10;6;;
16734;2000;1;11;9;1.028,2;10,8;9,4;;;82;50;5;10;5;;
16734;2000;1;11;12;1.027,4;12,6;10,6;;;77;180;5;15;5;;
16734;2000;1;11;15;1.027,1;12;8,2;;;56;320;6;20;3;;
16734;2000;1;11;18;1.028;7,8;6,2;14;6,2;77;50;6;20;1;;
16734;2000;1;11;21;1.028,8;6;4,8;;;82;50;7;20;1;;
16734;2000;1;12;0;1.028,4;5;4;;;84;50;8;20;1;;
16734;2000;1;12;3;1.027,9;5;3,8;;;81;50;8;20;3;;
16734;2000;1;12;6;1.028,3;6,2;3,8;13,2;3,8;65;50;8;20;4;;
16734;2000;1;12;9;1.029;9,8;6,6;;;60;0;0;20;6;;
16734;2000;1;12;12;1.027,3;13;8,4;;;48;0;0;20;5;;
16734;2000;1;12;15;1.027,4;12,6;9;;;59;20;5;20;4;;
16734;2000;1;12;18;1.027,5;9;7;13,6;6;73;20;5;10;6;;
16734;2000;1;12;21;1.028,3;7;5,4;;;77;50;5;10;3;;
16734;2000;1;13;0;1.027,7;6,4;4,8;;;77;50;5;10;5;;
16734;2000;1;13;3;1.026,7;6,6;5;;;77;50;5;10;5;;
