STATIONID;OBSERVATIONYEAR;OBSERVATIONMONTH;OBSERVATIONDAY;OBSERVATIONHOUR;BARPRESSURE;DRYTEMP;WETTEMP;MAXTEMP;MINTEMP;RELHUMIDITY;WINDDIRECTION;WINDFORCEKNOT;VISIBILITY;TOTALCLOUDAMOUNT;PRECIPHEIGHT;HLIOFANIA
16723;1990;1;12;0;1.030,9;10;7;;;62;0;0;15;5;;
16723;1990;1;12;3;1.030,9;10;7;;;62;0;0;15;8;;
16723;1990;1;12;6;1.030,2;6;4;10;6;70;0;0;15;4;;
16723;1990;1;12;9;1.030,5;13,2;7,8;;;42;180;6;15;4;;
16723;1990;1;12;12;1.029;13,6;9;;;50;0;0;15;4;;
16723;1990;1;12;15;1.028,6;11,4;8;;;60;20;6;15;2;;
16723;1990;1;12;18;1.028,6;8,4;6,8;14;6;78;20;10;15;1;;
16723;1990;1;12;21;1.028,7;8;6,6;;;81;20;8;15;0;;
16723;1990;1;13;0;1.027,3;7,2;5,8;;;80;20;8;15;0;;
16723;1990;1;13;3;1.027,3;9;7,6;;;82;50;10;15;1;;
16723;1990;1;13;6;1.027,7;8,6;6,8;9;5;76;360;10;15;1;;
16723;1990;1;13;9;1.028;11,8;8,6;;;63;340;12;15;1;;
16723;1990;1;13;12;1.024,7;13,6;9;;;50;20;18;15;2;;
16723;1990;1;13;15;1.024,2;11,6;8,2;;;60;360;20;15;2;;
16723;1990;1;13;18;1.024,2;10,4;8;13,8;8,6;70;20;20;15;0;;
16723;1990;1;13;21;1.023,3;9,8;7,8;;;74;20;18;15;0;;
16723;1990;1;14;0;1.022,6;8,8;7;;;76;20;15;15;0;;
16723;1990;1;14;3;1.021,8;8,8;7,4;;;81;20;15;15;0;;
16723;1990;1;14;6;1.022,4;5;4,4;10,4;5;90;360;8;15;0;;
16723;1990;1;14;9;1.022;11;9;;;75;20;15;8;0;;
16723;1990;1;14;12;1.020,2;12,6;10;;;70;360;15;8;1;;
16723;1990;1;14;15;1.020,2;10;8;;;74;360;10;10;1;;
16723;1990;1;14;18;1.019,8;9;7,6;13,8;5;82;360;15;10;0;;
16723;1990;1;14;21;1.020;7,4;6,4;;;85;20;16;10;0;;
16723;1990;1;15;0;1.020;7,8;6,6;;;83;20;20;15;0;;
16723;1990;1;15;3;1.020;7,2;6,2;;;85;20;22;15;0;;
16723;1990;1;15;6;1.021,6;7;5,6;9;6;80;360;18;8;1;;
16723;1990;1;15;9;1.021,6;9;7;;;73;360;25;8;1;;
16723;1990;1;15;12;1.021,1;10;7;;;62;20;25;9;1;;
16723;1990;1;15;15;1.021,4;9,6;7;;;67;20;24;10;1;;
16723;1990;1;15;18;1.022,4;8,6;5,8;10,8;7;63;20;23;10;1;;
16723;1990;1;15;21;1.022,4;8;6;;;72;20;25;15;0;;
16723;1990;1;16;0;1.024;7;5;;;71;360;25;15;0;;
16723;1990;1;16;3;1.024;7;5;;;71;360;25;15;0;;
16723;1990;1;16;6;1.024,4;6;4,2;8,6;6;73;360;20;15;1;;
16723;1990;1;16;9;1.024,6;9,2;4,6;;;42;20;22;15;1;;
16723;1990;1;16;12;1.023,4;10;6,2;;;52;20;32;15;1;;
16723;1990;1;16;15;1.022,9;9;5,4;;;53;20;30;15;0;;
16723;1990;1;16;18;1.023,5;8;5,4;10;6;64;20;22;15;0;;
16723;1990;1;16;21;1.023,5;7,8;6,2;;;77;20;25;15;0;;
16723;1990;1;17;0;1.022,9;7,8;6;;;75;20;24;15;1;;
16723;1990;1;17;3;1.022,6;7,8;6;;;75;360;17;15;1;;
