STATIONID;OBSERVATIONYEAR;OBSERVATIONMONTH;OBSERVATIONDAY;OBSERVATIONHOUR;BARPRESSURE;DRYTEMP;WETTEMP;MAXTEMP;MINTEMP;RELHUMIDITY;WINDDIRECTION;WINDFORCEKNOT;VISIBILITY;TOTALCLOUDAMOUNT;PRECIPHEIGHT;HLIOFANIA
16650;1990;1;1;0;1.025,1;5,2;4,2;;;84;60;15;10;6;;
16650;1990;1;1;3;1.024,6;5;4,2;;;87;40;16;10;6;;
16650;1990;1;1;6;1.023,9;5;4,2;5,6;5;87;40;12;10;7;;
16650;1990;1;1;9;1.023,9;5,8;4,4;;;78;40;18;10;8;;
16650;1990;1;1;12;1.022;5,8;4,4;;;78;40;15;10;8;;
16650;1990;1;1;15;1.020,7;5,6;4,2;;;78;40;17;10;7;;
16650;1990;1;1;18;1.021,1;5;3,8;6;5;81;40;22;10;8;;
16650;1990;1;1;21;1.021,1;5,2;3,4;;;71;40;15;10;8;;
16650;1990;1;2;0;1.019,7;4,8;3,2;;;74;40;18;10;8;;
16650;1990;1;2;3;1.018,9;4,8;3,2;;;74;40;13;10;8;;
16650;1990;1;2;6;1.018,7;5,4;3,8;5,4;4,6;76;30;19;10;8;;
16650;1990;1;2;9;1.019,3;5,4;4;;;78;40;16;10;8;;
16650;1990;1;2;12;1.017,4;6;4,4;;;76;40;18;10;8;;
16650;1990;1;2;15;1.017,1;6;4,4;;;76;30;19;10;8;;
16650;1990;1;2;18;1.017,7;6;4,4;6;5,4;76;40;12;10;8;;
16650;1990;1;2;21;1.017,8;6;4,4;;;76;40;17;10;8;;
16650;1990;1;3;0;1.017;6;4,4;;;76;30;18;10;8;;
16650;1990;1;3;3;1.016,4;5,6;4;;;76;30;15;10;8;;
16650;1990;1;3;6;1.017;5,4;3,8;6;5,4;76;40;15;10;8;;
16650;1990;1;3;9;1.017,6;5,2;3;;;66;50;16;10;8;;
16650;1990;1;3;12;1.016,3;5,6;3,2;;;63;50;16;10;8;;
16650;1990;1;3;15;1.016,4;4,6;2,4;;;65;50;14;10;5;;
16650;1990;1;3;18;1.017,8;3,8;1,8;5,6;3,8;67;50;18;10;5;;
16650;1990;1;3;21;1.019,1;3,4;1,2;;;63;50;22;10;6;;
16650;1990;1;4;0;1.021;2,2;0,2;;;64;40;22;10;6;;
16650;1990;1;4;3;1.021,7;2,6;0;;;55;40;24;10;6;;
16650;1990;1;4;6;1.023,9;3;0,4;3,8;2,2;55;20;23;10;7;;
16650;1990;1;4;9;1.026,1;3;0;;;49;30;20;10;5;;
16650;1990;1;4;12;1.026,5;3,6;0,6;;;52;20;16;10;5;;
16650;1990;1;4;15;1.028;2,2;0,2;;;64;40;23;10;5;;
16650;1990;1;4;18;1.031;1;-1,6;3,8;1;55;30;25;10;4;;
16650;1990;1;4;21;1.032,7;0;-2;;;64;20;25;10;4;;
16650;1990;1;5;0;1.033,7;0;-2;;;64;30;25;10;6;;
16650;1990;1;5;3;1.034;-0,4;-1,4;;;82;40;25;10;6;;
16650;1990;1;5;6;1.034,4;-0,4;-1,4;1;-0,4;82;40;22;16;5;;
16650;1990;1;5;9;1.035,5;1,4;-0,6;;;65;40;20;10;4;;
16650;1990;1;5;12;1.034;2,6;0,2;;;58;40;18;15;3;;
16650;1990;1;5;15;1.033,2;1,4;-0,6;;;65;40;20;10;6;;
16650;1990;1;5;18;1.033,4;1,4;-0,8;2,6;-0,4;62;50;18;10;6;;
16650;1990;1;5;21;1.033;1,2;-0,6;;;69;50;14;10;3;;
16650;1990;1;6;0;1.031,7;2,2;0,4;;;67;40;15;10;5;;
16650;1990;1;6;3;1.031,4;2,2;-0,4;;;58;60;15;10;6;;
16650;1990;1;6;6;1.031,7;2,4;0,4;2,4;0,6;64;60;17;10;7;;
16650;1990;1;6;9;1.032,3;3;1;;;66;50;16;10;7;;
16650;1990;1;6;12;1.031,1;3,4;1,4;;;66;30;22;10;7;;
16650;1990;1;6;15;1.031;3,8;1,8;;;67;30;20;10;5;;
16650;1990;1;6;18;1.031,8;3,8;1,8;4,2;2,4;67;40;17;10;5;;
16650;1990;1;6;21;1.032;2,4;0,4;;;64;40;20;10;4;;
16650;1990;1;7;0;1.032,2;3,4;1,4;;;66;40;18;10;4;;
16650;1990;1;7;3;1.032,2;3;1;;;66;40;18;10;4;;
16650;1990;1;7;6;1.032,7;3;1;3,8;2,4;66;40;18;10;6;;
16650;1990;1;7;9;1.033,8;4;1,8;;;65;30;17;10;6;;
16650;1990;1;7;12;1.032,8;5;2,6;;;63;30;15;10;7;;
