STATIONID;OBSERVATIONYEAR;OBSERVATIONMONTH;OBSERVATIONDAY;OBSERVATIONHOUR;BARPRESSURE;DRYTEMP;WETTEMP;MAXTEMP;MINTEMP;RELHUMIDITY;WINDDIRECTION;WINDFORCEKNOT;VISIBILITY;TOTALCLOUDAMOUNT;PRECIPHEIGHT;HLIOFANIA
16732;1995;1;1;0;1.012,7;16,6;15,8;;;92;200;13;12;4;;
16732;1995;1;1;3;1.011,7;16,8;16,2;;;94;180;14;10;4;;
16732;1995;1;1;6;1.012;16,7;15,7;17;15,2;90;210;22;12;4;;
16732;1995;1;1;9;1.012,7;17,4;16,2;;;88;200;24;12;7;;
16732;1995;1;1;12;1.011,7;17,4;16,4;;;90;210;28;10;7;;
16732;1995;1;1;15;1.010,7;17;16;;;90;210;34;10;6;;
16732;1995;1;1;18;1.011;16,8;15,8;18;16,5;90;210;35;10;5;;
16732;1995;1;1;21;1.010,7;16,8;15,8;;;90;210;35;10;4;;
16732;1995;1;2;0;1.010,2;17;15,8;;;88;210;34;10;4;;
16732;1995;1;2;3;1.009,2;17;15,6;;;86;200;36;10;5;;
16732;1995;1;2;6;1.010;16,8;15,4;17;15,5;85;210;30;12;5;;
16732;1995;1;2;9;1.011,2;17,2;15,6;;;84;190;30;12;4;;
16732;1995;1;2;12;1.008,7;18;15,8;;;79;200;36;12;5;;
16732;1995;1;2;15;1.009,5;18;15;;;71;200;24;15;5;;
16732;1995;1;2;18;1.011;17,5;15,5;18,8;16,6;80;180;16;15;2;;
16732;1995;1;2;21;1.011,4;17;15;;;80;180;16;12;2;;
16732;1995;1;3;0;1.011,4;17;15;;;80;190;15;12;7;;
16732;1995;1;3;3;1.010,5;16,4;15;;;85;180;10;15;8;;
16732;1995;1;3;6;1.010,5;14,8;13,6;17,5;14,6;87;160;5;15;7;;
16732;1995;1;3;9;1.010,5;17,4;15;;;76;170;8;20;6;;
16732;1995;1;3;12;1.008,4;17,4;14,8;;;74;180;11;18;8;;
16732;1995;1;3;15;1.008;16,8;14,8;;;80;170;9;15;8;;
16732;1995;1;3;18;1.008,4;15,4;15,2;18,7;14,6;98;210;15;10;8;1,1;
16732;1995;1;3;21;1.009,4;13;12,2;;;91;0;0;10;8;2,6;
16732;1995;1;4;0;1.008,7;12,5;11,7;;;91;160;8;10;8;5,1;
16732;1995;1;4;3;1.007,7;13,2;12,4;;;91;210;12;12;4;0,1;
16732;1995;1;4;6;1.009;13,8;11,8;15,4;11,8;78;220;12;18;6;7,8;
16732;1995;1;4;9;1.009,5;15;12;;;68;220;15;20;5;0,1;
16732;1995;1;4;12;1.009;14,6;10,8;;;60;220;20;20;6;0;
16732;1995;1;4;15;1.009,7;13;11;;;77;220;22;15;7;1,8;
16732;1995;1;4;18;1.011,5;13,2;10,8;15,5;9,3;73;210;20;15;5;2,9;
16732;1995;1;4;21;1.013;12,6;10;;;70;210;14;15;4;;
16732;1995;1;5;0;1.014;13,4;11;;;73;210;16;12;4;;
16732;1995;1;5;3;1.015,4;11,6;10;;;81;210;11;12;3;0,6;
16732;1995;1;5;6;1.017;12,7;9,7;13,6;10;66;220;20;15;5;1,8;
16732;1995;1;5;9;1.019,2;14,4;12;;;74;230;8;25;2;2,8;
16732;1995;1;5;12;1.019;15,4;12;;;65;220;14;25;5;;
16732;1995;1;5;15;1.019,7;14,5;11,3;;;65;210;8;25;7;;
16732;1995;1;5;18;1.021;12,6;10,2;15,4;11;72;130;3;20;7;2,8;
16732;1995;1;5;21;1.020,4;12;10,2;;;78;0;0;18;7;;
16732;1995;1;6;0;1.019,2;12,6;11;;;81;150;3;18;7;;
16732;1995;1;6;3;1.017,7;14,3;11,7;;;72;180;14;15;5;;
16732;1995;1;6;6;1.018;13;11,4;14,3;11,5;81;240;18;15;5;1,4;
16732;1995;1;6;9;1.018,5;14,6;12,6;;;79;200;12;25;2;;
16732;1995;1;6;12;1.017,5;14,8;12,2;;;72;220;20;25;4;;
16732;1995;1;6;15;1.017,5;14,8;11,8;;;68;200;15;25;3;;
16732;1995;1;6;18;1.018,5;14;11,4;16;12,8;71;200;11;18;3;;
16732;1995;1;6;21;1.018,5;11,3;10,1;;;85;130;4;15;2;5,3;
16732;1995;1;7;0;1.017;12,5;11,1;;;83;210;10;15;2;;
16732;1995;1;7;3;1.017;12,8;10,8;;;77;200;10;15;3;;
16732;1995;1;7;6;1.018,2;13;10,8;14;10,8;75;220;12;20;4;5,3;
16732;1995;1;7;9;1.019,7;15;12,4;;;72;220;10;25;4;;
16732;1995;1;7;12;1.019,5;15,4;12;;;65;200;12;25;3;;
16732;1995;1;7;15;1.020,7;13,6;11,4;;;75;0;0;25;4;0;
16732;1995;1;7;18;1.022,5;10,8;10;15,8;10,6;90;0;0;20;2;0;
16732;1995;1;7;21;1.023,4;10,4;9,4;;;87;0;0;20;1;;
16732;1995;1;8;0;1.023,5;9,4;8,4;;;87;0;0;15;1;;
16732;1995;1;8;3;1.023,5;9,4;8,2;;;84;0;0;15;1;;
16732;1995;1;8;6;1.024,4;9;7,6;10,8;8,4;82;0;0;25;3;;
16732;1995;1;8;9;1.024,8;14,8;11,4;;;64;0;0;25;3;;
16732;1995;1;8;12;1.023,2;14,4;11;;;64;360;6;25;4;;
16732;1995;1;8;15;1.022,7;13,8;11,6;;;76;40;5;25;4;;
16732;1995;1;8;18;1.022;11,4;10;16;8,8;83;0;0;20;4;;
16732;1995;1;8;21;1.021,4;11;10;;;88;0;0;18;4;;
16732;1995;1;9;0;1.019,7;10,6;9,6;;;88;0;0;15;4;;
16732;1995;1;9;3;1.017;10,2;8,8;;;82;0;0;15;5;;
16732;1995;1;9;6;1.017;10,6;9,4;11,4;9;85;0;0;15;7;;
16732;1995;1;9;9;1.017,5;11,6;10,8;;;90;0;0;10;8;2,2;
16732;1995;1;9;12;1.014,5;13,2;11;;;75;360;7;25;3;0,3;
16732;1995;1;9;15;1.014;12,4;10,6;;;79;30;4;20;5;;
16732;1995;1;9;18;1.013,7;11,5;10,5;13,6;10,4;88;0;0;20;6;2,5;
16732;1995;1;9;21;1.012,7;11,2;10,2;;;88;0;0;20;3;;
16732;1995;1;10;0;1.011;13;11,2;;;79;20;14;18;2;;
16732;1995;1;10;3;1.009;12;10,8;;;86;40;4;15;3;;
16732;1995;1;10;6;1.009,5;10,6;9,8;13,2;10,4;90;0;0;10;8;2,2;
16732;1995;1;10;9;1.009,7;11,6;10,4;;;85;30;5;15;7;1,4;
16732;1995;1;10;12;1.007,7;12,7;11,3;;;83;10;16;15;7;;
16732;1995;1;10;15;1.007,7;12,4;10;;;72;10;21;15;7;;
16732;1995;1;10;18;1.008,4;12,4;10;13;10,4;72;360;14;15;7;1,4;
16732;1995;1;10;21;1.008,2;11,6;9,2;;;71;360;8;15;1;;
16732;1995;1;11;0;1.007,4;7,2;6;;;83;0;0;15;0;;
16732;1995;1;11;3;1.006,9;8;7;;;86;0;0;15;2;;
16732;1995;1;11;6;1.006,4;9,8;8,8;12,6;7,2;87;120;4;15;4;;
16732;1995;1;11;9;1.006;15;12,4;;;72;220;18;15;3;;
16732;1995;1;11;12;1.004,7;15;12,2;;;70;240;14;15;4;;
16732;1995;1;11;15;1.004,7;14,3;11,7;;;72;220;10;15;2;;
16732;1995;1;11;18;1.004,7;13,4;11,6;15,5;9,6;80;220;7;15;4;;
16732;1995;1;11;21;1.004,4;14;12;;;78;220;15;15;5;;
16732;1995;1;12;0;1.003,4;14,2;11,8;;;74;230;19;15;5;0;
16732;1995;1;12;3;1.001,5;14,4;12,2;;;76;200;16;15;5;;
16732;1995;1;12;6;1.000,7;11,5;10,7;14,6;11,3;90;160;10;12;8;1;
16732;1995;1;12;9;999;15,2;14;;;87;210;24;15;4;1,5;
16732;1995;1;12;12;1.000,2;15,5;13,3;;;77;280;20;25;3;;
16732;1995;1;12;15;1.002;15,5;13,5;;;79;230;16;25;4;;
16732;1995;1;12;18;1.003,7;15,6;14;16,2;11,3;83;210;22;15;6;1,5;
16732;1995;1;12;21;1.004,7;15,4;14,4;;;89;210;18;15;7;1,2;
16732;1995;1;13;0;1.005,2;15,7;13,7;;;79;200;20;15;7;0,8;
16732;1995;1;13;3;1.006,5;15,7;13,7;;;79;210;14;15;7;;
16732;1995;1;13;6;1.008;15,6;14;16;13,8;83;220;16;15;7;2;
16732;1995;1;13;9;1.010;14,8;13,6;;;87;210;15;12;7;0,6;
16732;1995;1;13;12;1.009,2;15,8;14;;;81;180;5;18;5;2,8;
16732;1995;1;13;15;1.008,7;15;13,8;;;87;0;0;18;6;;
16732;1995;1;13;18;1.009,4;14,2;12,8;16,3;12,8;85;160;5;15;3;3,4;
16732;1995;1;13;21;1.010;14,4;12,6;;;80;160;8;15;1;;
16732;1995;1;14;0;1.009;14,4;12;;;74;160;8;15;1;;
16732;1995;1;14;3;1.007,7;14,4;11,4;;;67;170;11;15;1;;
16732;1995;1;14;6;1.007,7;15,2;12,2;15,6;13,6;68;170;16;15;1;;
16732;1995;1;14;9;1.008,2;16;12;;;60;160;20;15;4;;
16732;1995;1;14;12;1.005;16,6;13;;;64;160;20;15;4;;
16732;1995;1;14;15;1.003;15;12,4;;;72;170;18;15;4;0,2;
16732;1995;1;14;18;1.002,9;14,5;9,8;17,6;14,3;52;170;26;15;6;0,2;
16732;1995;1;14;21;1.003;12;10,8;;;86;170;20;12;7;2,5;
16732;1995;1;15;0;1.002,7;11;9,8;;;85;160;15;12;8;0,5;
16732;1995;1;15;3;1.003;9,4;8,8;;;92;130;10;10;8;7,6;
16732;1995;1;15;6;1.003,7;10,4;9;14,5;8,8;82;320;18;12;7;14,5;
16732;1995;1;15;9;1.004,7;11,4;10;;;83;330;30;12;7;;
16732;1995;1;15;12;1.005;11,2;10,2;;;88;320;26;12;7;;
16732;1995;1;15;15;1.005,7;12,2;11,2;;;88;340;27;12;7;;
16732;1995;1;15;18;1.008,7;11;10,6;12,8;10;95;360;40;10;7;3,2;
16732;1995;1;15;21;1.013;10,4;8,8;;;80;10;38;10;7;1;
16732;1995;1;16;0;1.014,7;10;8,8;;;85;360;41;10;7;;
16732;1995;1;16;3;1.015,9;9;7,8;;;84;360;45;10;7;;
16732;1995;1;16;6;1.018;8,8;7,5;11,6;6,5;82;360;40;10;8;1,1;
16732;1995;1;16;9;1.020,2;8,5;7,5;;;87;360;38;10;8;0,2;
16732;1995;1;16;12;1.020,2;8,8;7,4;;;81;360;40;12;8;;
16732;1995;1;16;15;1.021;8,6;7;;;78;360;42;12;8;;
16732;1995;1;16;18;1.022;9;7;9,4;8;73;350;40;12;7;0,2;
16732;1995;1;16;21;1.022,9;8,5;6,2;;;70;360;36;12;7;;
16732;1995;1;17;0;1.022,9;8,5;6,5;;;73;360;36;15;7;;
16732;1995;1;17;3;1.023;8;5,8;;;70;350;35;15;7;;
16732;1995;1;17;6;1.023,7;8;6;9;7,2;72;350;35;15;7;;
16732;1995;1;17;9;1.025,4;8,2;5,2;;;59;10;29;15;7;;
16732;1995;1;17;12;1.023,7;8,4;5,8;;;65;360;31;15;7;;
16732;1995;1;17;15;1.023,7;8,4;5,4;;;59;360;30;12;4;;
16732;1995;1;17;18;1.024,8;8,4;5,4;9;7,8;59;360;30;12;2;;
16732;1995;1;17;21;1.025;8,5;5,5;;;61;360;22;15;6;;
16732;1995;1;18;0;1.025,4;8;5;;;59;360;24;15;7;;
16732;1995;1;18;3;1.025;8;5,2;;;62;360;20;15;7;;
16732;1995;1;18;6;1.025,5;8,4;5,4;8,6;7,2;59;360;15;15;7;;
16732;1995;1;18;9;1.026,5;8,6;6;;;65;20;5;15;7;;
16732;1995;1;18;12;1.025;9;6,4;;;65;20;4;15;8;;
