STATIONID;OBSERVATIONYEAR;OBSERVATIONMONTH;OBSERVATIONDAY;OBSERVATIONHOUR;BARPRESSURE;DRYTEMP;WETTEMP;MAXTEMP;MINTEMP;RELHUMIDITY;WINDDIRECTION;WINDFORCEKNOT;VISIBILITY;TOTALCLOUDAMOUNT;PRECIPHEIGHT;HLIOFANIA
16732;2000;1;1;6;1.017,7;13,2;10;15,4;12,6;64;340;11;20;5;;
16732;2000;1;1;9;1.019,1;14,2;10;;;55;340;12;20;6;;
16732;2000;1;1;12;1.018,2;13,6;9,2;;;52;340;12;20;8;;
16732;2000;1;1;18;1.019,8;12;9;14,2;11,8;65;10;14;15;8;;
16732;2000;1;2;6;1.019,4;10,6;8,6;12;10,6;75;350;18;15;7;;
16732;2000;1;2;9;1.019,5;10,8;8,2;;;68;360;16;15;7;;
16732;2000;1;2;12;1.017,8;11,4;8,8;;;69;350;15;15;7;;
16732;2000;1;2;15;1.017,8;10,8;7,8;;;64;360;18;15;5;;
16732;2000;1;2;18;1.017,8;10,6;7,8;11,4;10,6;66;360;16;12;3;;
16732;2000;1;2;21;1.018,1;10,8;7,2;;;56;360;22;12;6;;
16732;2000;1;3;0;1.018,1;10;6,6;;;58;360;26;12;3;;
16732;2000;1;3;3;1.017,3;9,4;6,8;;;67;10;16;12;3;;
16732;2000;1;3;6;1.018,4;9,2;5,8;11;9,2;56;360;26;12;4;;
16732;2000;1;3;9;1.019,9;9;5,4;;;53;350;26;12;4;;
16732;2000;1;3;12;1.018,9;7,8;5;;;62;350;34;12;3;;
16732;2000;1;3;15;1.018,5;8;5,2;;;62;350;38;12;5;;
16732;2000;1;3;18;1.018,9;8;5;9,8;7,2;59;340;36;12;5;;
16732;2000;1;3;21;1.018,5;8,2;5,2;;;59;350;36;12;3;;
16732;2000;1;4;0;1.018,2;7,8;4,8;;;59;350;32;12;6;;
16732;2000;1;4;3;1.017,4;8;5,6;;;68;350;32;12;8;;
16732;2000;1;4;6;1.017,3;8;5,6;8,2;7;68;340;40;15;7;;
16732;2000;1;4;9;1.018,1;8;5;;;59;350;40;15;7;;
16732;2000;1;4;12;1.016,7;8,2;5,2;;;59;350;38;15;7;;
16732;2000;1;4;15;1.016,2;8,4;5,4;;;59;350;38;12;7;0,1;
16732;2000;1;4;18;1.016,7;8;5;9;6,2;59;350;38;12;7;0,1;
16732;2000;1;4;21;1.017,8;8;5;;;59;350;30;12;4;;
16732;2000;1;5;0;1.017,1;8;5;;;59;350;30;12;7;;
16732;2000;1;5;3;1.016,2;8;4,6;;;55;350;40;12;3;;
16732;2000;1;5;6;1.016,7;8,6;5,4;8,6;7;57;340;34;12;7;;
16732;2000;1;5;9;1.017,6;9;6;;;61;350;35;15;6;;
16732;2000;1;5;12;1.016,2;9,2;5,4;;;51;340;32;15;4;;
16732;2000;1;5;15;1.017;9,4;6,2;;;59;350;32;15;6;;
16732;2000;1;5;18;1.018;9,4;6,4;9,6;8,2;61;340;33;15;5;;
16732;2000;1;6;6;1.018,7;9,8;7;10;9;64;350;30;12;7;;
16732;2000;1;6;9;1.019,7;10;6,8;;;60;350;28;15;8;;
16732;2000;1;6;12;1.018,2;10,2;7;;;60;350;27;15;6;;
16732;2000;1;6;15;1.018,9;10,2;7,2;;;62;350;22;15;7;;
16732;2000;1;6;18;1.019,4;10,2;7,2;10,6;9,2;62;350;20;15;6;;
16732;2000;1;6;21;1.019,9;10,2;7;;;60;340;18;15;2;;
16732;2000;1;7;0;1.020,2;9,6;6,6;;;62;340;17;15;2;;
16732;2000;1;7;3;1.019,7;9,6;6,8;;;64;340;14;15;2;0,2;
16732;2000;1;7;6;1.020,2;9,2;7,2;10,4;6,4;73;350;16;15;5;0,4;
16732;2000;1;7;9;1.022;10;7,6;;;70;340;30;15;7;;
16732;2000;1;7;12;1.021,6;10;7,6;;;70;350;25;15;6;;
16732;2000;1;7;15;1.021,7;8,6;6,4;;;70;340;18;15;5;;
16732;2000;1;7;18;1.022;9,4;6,2;10,2;8;59;350;26;12;6;;
16732;2000;1;7;21;1.022,1;9,6;7,2;;;69;340;26;12;4;;
16732;2000;1;8;0;1.021,8;9,6;7,4;;;71;340;26;15;3;;
16732;2000;1;8;3;1.021,8;9,2;7,2;;;73;340;30;15;4;;
16732;2000;1;8;6;1.023;9,8;6,4;10,2;9;56;360;27;15;2;;
16732;2000;1;8;9;1.023,9;10;7,8;;;72;350;35;15;3;;
16732;2000;1;8;12;1.023,1;10,2;7,2;;;62;350;28;15;3;;
16732;2000;1;8;15;1.023,1;9,6;6,8;;;64;340;30;15;6;;
16732;2000;1;8;18;1.023,8;10,2;7;10,6;9,2;60;340;34;15;7;;
16732;2000;1;9;6;1.023,3;10,4;7,4;10,4;9,2;62;350;24;12;7;;
16732;2000;1;9;9;1.024,3;10,8;7,6;;;61;350;25;12;7;;
16732;2000;1;9;12;1.023,3;10,8;7,6;;;61;350;20;15;7;;
16732;2000;1;9;15;1.023,8;10,6;7;;;56;350;22;15;4;;
16732;2000;1;9;18;1.024,4;10,4;6,8;11;10;56;350;22;15;2;;
16732;2000;1;10;6;1.026,4;10,8;7,6;11,2;9,8;61;360;12;15;7;;
16732;2000;1;10;9;1.027,1;11;8;;;64;10;12;15;5;;
16732;2000;1;10;12;1.025,8;11;8;;;64;350;10;15;7;;
16732;2000;1;10;15;1.025,8;11;8,4;;;68;350;15;15;7;;
16732;2000;1;10;18;1.026,2;11,4;7,6;11,6;10,8;56;350;15;15;7;;
16732;2000;1;11;6;1.026,6;11;7,6;11,4;10,6;60;350;24;15;7;;
16732;2000;1;11;9;1.027,8;10,8;7,4;;;58;350;24;15;7;;
16732;2000;1;11;12;1.026,2;10,6;7,6;;;64;350;22;15;7;;
16732;2000;1;11;15;1.026,1;10,8;7,8;;;64;350;22;12;7;;
16732;2000;1;11;18;1.026,7;11,2;8;11,6;10,4;61;350;30;12;7;;
16732;2000;1;12;6;1.027,7;9,6;6,6;11,2;9,6;62;350;28;15;6;;
16732;2000;1;12;9;1.028,2;9,8;6,4;;;56;350;30;15;7;;
16732;2000;1;12;12;1.027,4;9,8;6,4;;;56;350;27;15;7;;
16732;2000;1;12;15;1.027,3;10;6,4;;;54;350;30;15;7;;
16732;2000;1;12;18;1.027,8;10;6,4;11,2;9,6;54;360;27;15;7;;
16732;2000;1;13;6;1.027,5;9,2;5,4;10,8;8,8;51;350;25;15;4;;
16732;2000;1;13;9;1.027,5;9,4;6;;;56;360;18;15;5;;
16732;2000;1;13;12;1.026;9,8;6;;;52;350;22;15;4;;
16732;2000;1;13;15;1.025;9,8;6;;;52;350;24;15;3;;
16732;2000;1;13;18;1.025;9,8;6;10,2;9,2;52;350;22;15;3;;
16732;2000;1;14;6;1.023,9;9,8;6,2;10,2;9;54;360;27;20;7;;
16732;2000;1;14;9;1.024,4;10,2;6,4;;;52;360;20;20;7;;
16732;2000;1;14;12;1.022,1;10,4;7;;;58;360;24;20;8;;
16732;2000;1;14;15;1.020,8;10,6;7,2;;;58;360;25;15;8;;
16732;2000;1;14;18;1.021,1;10,8;7,4;11;9,2;58;360;26;15;8;;
16732;2000;1;15;6;1.019,1;11,2;8;12;10,8;61;360;26;15;7;;
16732;2000;1;15;9;1.020,4;11,2;8;;;61;360;26;15;7;;
16732;2000;1;15;12;1.019,9;11;7,8;;;61;360;23;12;8;;
16732;2000;1;15;15;1.020,3;10,6;7,4;;;60;360;28;20;8;;
16732;2000;1;15;18;1.020,7;10,6;7,4;12;10,6;60;360;28;15;7;;
16732;2000;1;16;6;1.020,8;10,6;7,6;11,2;10,4;64;350;19;12;3;;
16732;2000;1;16;9;1.021,8;11,2;7,8;;;60;350;12;15;2;;
16732;2000;1;16;12;1.020,3;11,6;8,2;;;60;360;10;15;3;;
16732;2000;1;16;15;1.020,3;11;8;;;64;350;12;15;6;;
16732;2000;1;16;18;1.020,3;11;8;12;10,6;64;350;12;15;6;;
16732;2000;1;17;6;1.016,6;10,7;7,2;11;10,4;58;10;10;15;8;;
16732;2000;1;17;9;1.016,3;9;7,2;;;76;360;6;12;8;0,6;
16732;2000;1;17;12;1.012,4;8,8;7,2;;;78;20;5;8;8;2,4;
16732;2000;1;17;15;1.009,3;9;7,6;;;82;0;0;8;8;1;
16732;2000;1;17;18;1.007,5;9;7,4;10,8;8,6;78;20;12;8;8;5,5;
16732;2000;1;18;6;998,9;10,4;8,2;10,4;8,4;72;300;15;10;7;;
16732;2000;1;18;9;998,9;11,6;8,8;;;67;310;16;12;8;;
16732;2000;1;18;12;998,6;13,4;8,8;;;50;300;24;20;1;;
16732;2000;1;18;15;999,7;13,4;8,6;;;49;320;25;20;1;;
16732;2000;1;18;18;1.002;12,8;9;13,6;10,4;57;290;15;15;1;;
16732;2000;1;19;6;1.003;11,8;9;12,8;10,8;67;0;0;15;7;;
16732;2000;1;19;9;1.004,7;8,8;7,6;;;84;350;26;10;8;2,4;
16732;2000;1;19;12;1.005,1;8,4;7,2;;;83;340;28;10;8;;
16732;2000;1;19;15;1.006;9;7;;;73;340;22;10;8;;
16732;2000;1;19;18;1.009;8,2;6,8;11,8;7,8;81;340;25;10;8;3;
16732;2000;1;20;6;1.013,4;8,4;4,8;9;7,4;53;340;32;20;4;;
16732;2000;1;20;9;1.016,4;7,4;5,2;;;69;340;34;15;3;;
16732;2000;1;20;12;1.016,2;8;4,6;;;55;340;42;15;4;;
16732;2000;1;20;15;1.018,1;6,4;4,2;;;67;340;32;12;5;0,6;
16732;2000;1;20;18;1.020,7;6,8;3,4;10;4,8;51;350;32;0,2;7;0,6;
16732;2000;1;21;6;1.020,6;4,8;3,8;6,8;4,6;84;0;0;15;6;;
16732;2000;1;21;9;1.020,6;9,2;5;;;46;250;8;15;3;;
16732;2000;1;21;12;1.017,7;10,6;6,2;;;46;260;10;25;3;;
16732;2000;1;21;15;1.015,7;10,6;7;;;56;230;12;25;3;;
16732;2000;1;21;18;1.015,3;9;5,8;11,2;4,8;59;270;6;15;1;;
16732;2000;1;22;6;1.013,4;12,2;9,2;14,2;5,8;65;270;12;15;7;;
16732;2000;1;22;9;1.015,4;13,8;10,6;;;65;340;34;15;6;0,2;
16732;2000;1;22;12;1.015,7;9,6;6;;;54;350;35;15;7;;
16732;2000;1;22;15;1.017;8,2;5,2;;;59;350;28;15;4;;
16732;2000;1;22;18;1.018,2;7,6;4,6;14;7,4;59;350;26;15;4;0,2;
16732;2000;1;23;6;1.017,3;6;4,4;7,6;4;76;150;3;20;6;;
16732;2000;1;23;9;1.016,7;11,5;8,1;;;60;150;5;20;1;;
16732;2000;1;23;12;1.013,8;13,4;10,2;;;64;150;12;20;5;;
16732;2000;1;23;15;1.013;11,8;10,2;;;81;160;12;15;6;1,4;
16732;2000;1;23;18;1.012;12;11;13,4;5,2;88;170;14;15;6;2,3;
16732;2000;1;24;6;1.007,4;11,6;10,2;12,2;11,2;83;180;16;12;6;4,2;
16732;2000;1;24;9;1.007,7;13,4;11,4;;;77;190;24;12;7;0,3;
16732;2000;1;24;12;1.006,4;13;11,4;;;81;190;14;20;2;;
16732;2000;1;24;15;1.006,2;14;10,6;;;64;200;26;15;7;;
16732;2000;1;24;18;1.007,7;13,8;10,2;14,8;11,6;61;210;14;15;4;0,3;
16732;2000;1;25;6;1.013,8;10,4;7;13,8;10,2;58;330;16;15;3;;
16732;2000;1;25;9;1.017;10,4;7,6;;;66;350;15;15;4;;
16732;2000;1;25;12;1.017,8;10,2;7;;;60;350;15;20;3;;
16732;2000;1;25;15;1.019,4;8,8;5,8;;;61;360;20;15;3;;
16732;2000;1;25;18;1.021;8,2;5,4;10,8;8,2;62;350;22;15;4;;
16732;2000;1;26;6;1.022,2;6,4;4,4;8,2;6;70;350;22;15;5;;
16732;2000;1;26;9;1.022,9;7;4,6;;;66;350;20;15;6;;
16732;2000;1;26;12;1.021,1;7;4,8;;;69;340;26;15;7;;
16732;2000;1;26;15;1.021,1;6,8;4,6;;;69;350;28;15;6;;
16732;2000;1;26;18;1.021,7;6,4;3,8;8;6,2;62;350;28;15;6;;
16732;2000;1;27;6;1.023;5,6;3,2;6,4;4,2;63;350;30;12;6;;
16732;2000;1;27;9;1.024,6;5,8;3;;;58;350;35;12;4;;
16732;2000;1;27;12;1.023,9;7;4;;;57;360;30;15;6;;
16732;2000;1;27;15;1.024,4;7,2;5;;;69;350;22;15;7;;
16732;2000;1;27;18;1.025,8;8,4;5,4;8,4;5,6;59;350;20;12;5;;
16732;2000;1;28;6;1.025,1;8,8;5,8;8,8;8;61;350;12;20;2;;
16732;2000;1;28;9;1.025,8;10,2;7;;;60;340;4;20;1;;
16732;2000;1;28;12;1.022,9;11,2;7,8;;;60;340;5;20;1;;
16732;2000;1;28;15;1.022,9;11,2;7,2;;;52;340;4;20;0;;
16732;2000;1;28;18;1.022,9;7,6;5,6;12,4;7,6;72;0;0;20;0;;
16732;2000;1;29;6;1.020,6;6;4,6;7,8;6;79;0;0;25;4;;
16732;2000;1;29;9;1.020,6;12,6;9;;;59;0;0;25;3;;
16732;2000;1;29;12;1.020,2;13,8;10,2;;;61;340;6;25;4;;
16732;2000;1;29;15;1.020,7;12,8;9,6;;;64;0;0;25;6;;
16732;2000;1;29;18;1.021,6;11,4;9,4;14,8;6;75;0;0;25;4;;
16732;2000;1;30;6;1.021,3;8;7,2;11,4;8;89;0;0;20;3;;
16732;2000;1;30;9;1.022,4;14,4;11;;;64;200;10;20;2;;
16732;2000;1;30;12;1.020,3;15,4;11,4;;;58;200;14;20;2;;
16732;2000;1;30;15;1.020,3;14,4;11;;;64;230;8;20;3;;
16732;2000;1;30;18;1.020,8;13,6;10,6;15,6;8;67;220;12;20;3;;
16732;2000;1;31;6;1.023,3;13,2;10;13,6;12,8;64;340;12;25;1;;
16732;2000;1;31;9;1.025,6;14;11;;;67;340;12;25;2;;
16732;2000;1;31;12;1.024,8;14,6;11,6;;;68;340;12;25;2;;
16732;2000;1;31;15;1.025,1;13,8;10,6;;;65;360;10;20;1;;
16732;2000;1;31;18;1.026;11;9,2;14,6;11;78;0;0;20;0;;
16732;2000;1;31;21;1.026,4;11;9,2;;;78;120;3;15;0;;
16732;2000;2;1;0;1.026;11;9,2;;;78;120;4;15;0;;
16732;2000;2;1;3;1.024,3;11,6;10,2;;;83;120;4;15;0;;
16732;2000;2;1;6;1.024,8;11,6;10,2;11,8;9,4;83;120;5;15;0;;
16732;2000;2;1;9;1.026,2;16;13,8;;;77;0;0;15;0;;
16732;2000;2;1;12;1.025,6;15,8;12,4;;;65;360;17;15;0;;
16732;2000;2;1;15;1.025,6;15,2;12,2;;;68;360;14;15;1;;
16732;2000;2;1;18;1.027,1;14,4;12,6;17,4;11,6;80;360;14;15;1;;
16732;2000;2;1;21;1.027,4;14;12,8;;;87;360;6;15;0;;
16732;2000;2;2;0;1.027,4;11;9,2;;;78;0;0;15;0;;
16732;2000;2;2;3;1.026;9;8;;;87;0;0;15;0;;
16732;2000;2;2;6;1.026;7,4;6,4;14,4;7,4;85;0;0;15;0;;
16732;2000;2;2;9;1.025,7;15,8;13,4;;;75;0;0;15;0;;
16732;2000;2;2;12;1.023,3;17,2;13;;;59;180;6;15;0;;
16732;2000;2;2;15;1.021,8;15,8;13,4;;;75;180;10;15;0;;
16732;2000;2;2;18;1.021,6;13;12;17,4;7,4;88;150;5;15;0;;
16732;2000;2;2;21;1.021,1;14,4;12,8;;;83;170;10;15;5;;
16732;2000;2;3;0;1.019,7;14,4;12,4;;;78;180;14;15;3;;
16732;2000;2;3;3;1.019,1;14,6;12,2;;;74;190;14;15;4;;
16732;2000;2;3;6;1.019,5;14,5;12,3;14,6;13;76;160;12;15;7;;
16732;2000;2;3;9;1.019,7;15;12,8;;;77;170;10;15;7;0,2;
16732;2000;2;3;12;1.018,6;15,8;13;;;71;200;12;15;6;;
16732;2000;2;3;15;1.018,2;15,2;12,2;;;68;180;14;12;7;;
16732;2000;2;3;18;1.018,7;14,4;12;16;14,4;74;200;12;12;4;0,2;
16732;2000;2;3;21;1.019,1;13,4;11,8;;;82;180;3;15;0;;
16732;2000;2;4;0;1.019,3;13;11,8;;;86;0;0;12;2;;
16732;2000;2;4;3;1.019,3;13;11,8;;;86;0;0;12;3;;
16732;2000;2;4;6;1.020,6;12,6;11;14,4;11,6;81;350;20;12;7;;
16732;2000;2;4;9;1.022,2;12;10,8;;;86;350;26;10;8;0,2;
16732;2000;2;4;12;1.022,2;11,4;9,4;;;75;350;30;12;7;;
16732;2000;2;4;15;1.023,8;11;8,2;;;66;360;30;15;5;;
16732;2000;2;4;18;1.025,6;11;8,2;12,8;10,8;66;350;37;12;6;0,2;
16732;2000;2;4;21;1.026,4;11;8,2;;;66;350;38;12;6;;
16732;2000;2;5;0;1.027,4;9,8;6,2;;;54;350;34;12;4;;
16732;2000;2;5;3;1.026,9;9,2;5,2;;;48;350;30;12;2;;
16732;2000;2;5;6;1.027,3;8,4;4,6;11;8,2;51;350;32;20;5;;
16732;2000;2;5;9;1.028,2;8,4;4,6;;;51;350;30;20;2;;
16732;2000;2;5;12;1.026,6;9;5,4;;;53;350;34;20;1;;
16732;2000;2;5;15;1.026,4;8,8;5,6;;;59;350;26;20;2;;
16732;2000;2;5;18;1.026,1;9,2;6,2;11;8;61;350;24;15;2;;
16732;2000;2;5;21;1.025,6;9,8;7;;;64;350;14;15;2;;
16732;2000;2;6;0;1.024,7;10;7;;;62;340;10;15;1;;
16732;2000;2;6;3;1.024;11;7,4;;;56;340;14;15;1;;
16732;2000;2;6;6;1.024,4;11,8;8,4;11,8;9;60;340;12;25;0;;
16732;2000;2;6;9;1.025,4;13,2;9;;;54;350;16;25;1;;
16732;2000;2;6;12;1.025,4;13,6;9,4;;;54;350;16;25;0;;
16732;2000;2;6;15;1.025,4;13,2;9,8;;;62;350;14;25;0;;
16732;2000;2;6;18;1.026;13;10,2;13,6;11,8;68;350;14;25;0;;
16732;2000;2;6;21;1.026;13;9,4;;;59;350;16;20;0;;
16732;2000;2;7;0;1.024,6;12,6;8,6;;;55;350;20;20;0;;
16732;2000;2;7;3;1.024,2;12,5;8,5;;;55;360;20;15;0;;
16732;2000;2;7;6;1.023,7;12,4;8,6;13;12;57;350;24;30;1;;
16732;2000;2;7;9;1.024;12,6;9,4;;;63;360;22;30;1;;
16732;2000;2;7;12;1.022,5;13;8,8;;;54;360;20;30;1;;
16732;2000;2;7;15;1.021,6;13,4;8,6;;;49;360;17;20;1;;
16732;2000;2;7;18;1.022;13,6;10,4;13,6;12,4;64;360;16;15;2;;
16732;2000;2;7;21;1.022,4;13,4;10,8;;;71;350;16;15;1;;
16732;2000;2;8;0;1.021,6;13;10,6;;;73;350;16;15;0;;
16732;2000;2;8;3;1.021,3;13;11;;;77;340;8;15;0;;
16732;2000;2;8;6;1.021,8;13;11;13,6;12,8;77;350;5;15;2;;
16732;2000;2;8;9;1.022,2;13,6;11,2;;;73;350;4;15;3;;
16732;2000;2;8;12;1.020,8;15,8;12,4;;;65;0;0;20;3;;
16732;2000;2;8;15;1.020,4;15,2;11,8;;;65;320;4;20;2;;
16732;2000;2;8;18;1.021,1;11,6;9,6;16,4;11,6;76;0;0;15;0;;
16732;2000;2;8;21;1.021,1;11,6;9,6;;;76;0;0;15;0;;
16732;2000;2;9;0;1.019,9;11,6;9,6;;;76;0;0;15;0;;
16732;2000;2;9;3;1.018,7;13,2;11,6;;;82;170;5;15;1;;
16732;2000;2;9;6;1.019,1;13,4;11,6;13,6;11;80;180;12;15;3;;
16732;2000;2;9;9;1.019,4;15,8;13;;;71;180;16;15;3;;
16732;2000;2;9;12;1.018,1;16,6;13,4;;;68;180;16;15;1;;
16732;2000;2;9;15;1.017,6;15,6;12,6;;;69;190;16;15;6;;
16732;2000;2;9;18;1.018,4;14,8;12,4;16,6;13,4;74;180;10;12;1;;
16732;2000;2;9;21;1.018,2;14,6;12,6;;;79;170;10;12;5;;
16732;2000;2;10;0;1.017,7;12,6;11;;;81;150;8;12;6;1,5;
16732;2000;2;10;3;1.017;12,4;10,6;;;79;170;6;15;4;;
16732;2000;2;10;6;1.017,6;12,4;10,8;14,8;11,6;81;140;4;20;1;1,5;
16732;2000;2;10;9;1.018,1;16,4;12,8;;;64;170;7;20;2;;
16732;2000;2;10;12;1.017,7;16,2;13,2;;;69;160;10;15;4;;
16732;2000;2;10;15;1.017,7;15;12,6;;;75;170;14;15;6;0,3;
16732;2000;2;10;18;1.018,1;14,2;12;17,4;12,4;76;170;10;15;3;0,3;
16732;2000;2;10;21;1.019,4;14;12;;;78;150;6;15;2;;
16732;2000;2;11;0;1.019,5;14;11,6;;;74;160;6;15;1;;
16732;2000;2;11;3;1.019,4;13,4;11;;;73;0;0;15;4;;
16732;2000;2;11;6;1.020,4;14;11,8;14,2;13;76;150;6;15;5;;
16732;2000;2;11;9;1.021,4;17;12,8;;;59;150;10;15;5;;
16732;2000;2;11;12;1.020,4;17,2;12;;;50;170;10;15;7;;
16732;2000;2;11;15;1.020,7;16,6;12,8;;;63;150;4;10;6;;
16732;2000;2;11;18;1.021,6;14;11,8;17,6;13,8;76;0;0;15;4;;
16732;2000;2;12;6;1.020,2;11,4;10,2;14,2;11,2;85;0;0;15;7;2,2;
16732;2000;2;12;9;1.019,1;15,2;13;;;77;0;0;15;4;;
16732;2000;2;12;12;1.017,4;15;12,4;;;72;360;14;15;4;;
16732;2000;2;12;15;1.017,1;13,8;12,2;;;82;350;22;12;5;;
16732;2000;2;12;18;1.017,7;13;11,4;16;11,4;81;350;27;12;1;;
16732;2000;2;13;6;1.017,7;12,4;10,4;13,2;11,8;76;350;20;15;7;;
16732;2000;2;13;9;1.018,4;12,8;10,6;;;75;350;17;15;6;;
16732;2000;2;13;12;1.017,7;12,6;10,2;;;72;350;18;15;3;;
16732;2000;2;13;15;1.018,1;12;9,6;;;72;360;18;15;2;;
16732;2000;2;13;18;1.018,9;11,6;9,2;13;11,6;71;360;20;15;1;;
16732;2000;2;13;21;1.018,4;11,8;9,4;;;71;350;15;15;1;;
16732;2000;2;14;0;1.018,1;12;9,6;;;72;350;12;15;2;;
16732;2000;2;14;3;1.017,6;12,6;10;;;70;360;8;15;2;;
16732;2000;2;14;6;1.017,6;12;9,4;12,6;11,6;69;360;8;15;6;;
