STATIONID;OBSERVATIONYEAR;OBSERVATIONMONTH;OBSERVATIONDAY;OBSERVATIONHOUR;BARPRESSURE;DRYTEMP;WETTEMP;MAXTEMP;MINTEMP;RELHUMIDITY;WINDDIRECTION;WINDFORCEKNOT;VISIBILITY;TOTALCLOUDAMOUNT;PRECIPHEIGHT;HLIOFANIA
16746;1995;1;1;0;1.015;17,2;12,8;;;58;250;14;10;4;;
16746;1995;1;1;3;1.014;17,2;12,8;;;58;290;10;10;4;;
16746;1995;1;1;6;1.014,7;16;13;17,2;16;69;290;10;10;4;;
16746;1995;1;1;9;1.014,5;19;14;;;55;190;12;10;4;;
16746;1995;1;1;12;1.012,7;20,2;14,8;;;53;250;22;10;4;;
16746;1995;1;1;15;1.012,2;18,4;13,4;;;53;260;14;10;4;;
16746;1995;1;1;18;1.012,5;14,6;12;21;14,6;72;0;0;10;2;;
16746;1995;1;1;21;1.012,2;13,6;10,2;;;62;0;0;10;2;;
16746;1995;1;2;0;1.011;15,2;11;;;57;20;10;10;2;;
16746;1995;1;2;3;1.010,7;14,4;12,4;;;78;60;8;10;2;;
16746;1995;1;2;6;1.011,4;13,4;11,2;15,2;12,4;75;0;0;10;3;;
16746;1995;1;2;9;1.011,7;18,6;14,2;;;59;0;0;10;2;;
16746;1995;1;2;12;1.009,7;21,2;15;;;48;70;6;10;0;;
16746;1995;1;2;15;1.010;19;15;;;63;0;0;10;0;;
16746;1995;1;2;18;1.011;15;12;21,5;13,4;68;0;0;10;1;;
16746;1995;1;2;21;1.011,7;14;12;;;78;0;0;10;1;;
16746;1995;1;3;0;1.010,9;13,2;11,4;;;79;0;0;10;2;;
16746;1995;1;3;3;1.009,7;11,2;9,8;;;83;0;0;10;2;;
16746;1995;1;3;6;1.010,5;12;11;15;11,2;88;0;0;10;6;;
16746;1995;1;3;9;1.010,5;16;13;;;69;0;0;10;5;;
16746;1995;1;3;12;1.008,5;19;15;;;63;90;6;10;5;;
16746;1995;1;3;15;1.009,2;14;12,6;;;85;300;12;6;7;0;
16746;1995;1;3;18;1.009,4;12,2;12;19,8;12;98;290;4;6;8;4,7;
16746;1995;1;3;21;1.009,4;10;10;;;100;260;14;10;8;4,3;
16746;1995;1;4;0;1.009,4;11;10;;;88;260;10;10;4;0,4;
