STATIONID;OBSERVATIONYEAR;OBSERVATIONMONTH;OBSERVATIONDAY;OBSERVATIONHOUR;BARPRESSURE;DRYTEMP;WETTEMP;MAXTEMP;MINTEMP;RELHUMIDITY;WINDDIRECTION;WINDFORCEKNOT;VISIBILITY;TOTALCLOUDAMOUNT;PRECIPHEIGHT;HLIOFANIA
16641;1995;1;1;0;1.008,7;10,8;10,4;;;95;0;0;10;6;;
16641;1995;1;1;3;1.008,2;10,4;10,2;;;97;0;0;10;6;;
16641;1995;1;1;6;1.008,2;10,4;10,2;16;10,2;97;0;0;10;6;;
16641;1995;1;1;9;1.008,2;14;13,2;;;91;150;15;10;8;;
16641;1995;1;1;12;1.007;16,8;14,8;;;80;180;10;10;8;;
16641;1995;1;1;15;1.005,7;16,4;15;;;85;190;11;8;8;;
16641;1995;1;1;18;1.005;17,2;15,2;17,2;10,4;80;200;13;8;8;;
16641;1995;1;1;21;1.005;17,2;15,2;;;80;180;15;10;8;;
16641;1995;1;2;0;1.004,2;16,8;14,8;;;80;180;14;10;8;;
16641;1995;1;2;3;1.002,5;17,8;15;;;73;210;15;10;8;;
16641;1995;1;2;6;1.002,5;17,2;15,2;17,8;15,8;80;220;14;10;7;;
16641;1995;1;2;9;1.004,2;15,2;13;;;77;260;7;10;7;1;
16641;1995;1;2;12;1.005;15,2;12,2;;;68;310;7;10;7;;
16641;1995;1;2;15;1.006,5;13,8;10,4;;;62;330;6;10;7;0;
16641;1995;1;2;18;1.008,7;11;9,6;17,2;11;83;0;0;10;6;1,1;
16641;1995;1;2;21;1.010;8;7,4;;;91;0;0;10;5;;
16641;1995;1;3;0;1.010,2;6,6;6,2;;;94;180;3;10;3;;
16641;1995;1;3;3;1.010;6;5,6;;;94;0;0;10;5;;
16641;1995;1;3;6;1.008,7;7,2;6,4;11,2;5,4;88;330;4;20;8;0,4;
16641;1995;1;3;9;1.008,7;10,8;9,6;;;85;130;4;20;6;;
16641;1995;1;3;12;1.006,2;13;10;;;66;130;12;20;4;;
